BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
O'JUNG'S,,,PENNSPORT,1625 2nd St,,,PA,19148.0,"1625 2nd St, Philadelphia, PA 19148",39.92729131883779,-75.14883286168673,7:00 PM,,,,,,,,SJK MEDIA,
ORTLIEB'S ,,,NORTHERN LIBERTIES,847 N 3rd St,,,PA,19123.0,"847 N 3rd St, Philadelphia, PA 19123",39.964552583387,-75.142451269012,9:00 PM,,,,,,,,@MINDBENDERTRIVIA,
OTHER HALF,"BREWERY,RESTAURANT",,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123.0,"1002 CANAL ST, PHILADELPHIA, PA, 19123",39.9648491,-75.1350634,6:00 PM,WEDNESDAY,,,,,,,,QUIZZO
OUR TOWN TAPROOM,,,FRANCISVILLE,1519 Ridge Ave,,,PA,19130.0,"1519 Ridge Ave, Philadelphia, PA 19130",39.968552077514296,-75.16228939999999,7:00 PM,,GIFT_CARD,$25 GC,, ROUND OF DRINKS,, MYSTERY,,
PHILADELPHIA BREWING COMPANY,BREWERY,,EAST KENSINGTON,2440 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"2440 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.9823471,-75.1271578,7:30 PM,TUESDAY,,,,,,,BARRETT,QUIZZO
PIZZA TIME SALOON,"RESTAURANT,BAR",,,1900 W POINT PIKE,,WEST POINT,PA,19486.0,"1900 W POINT PIKE, WEST POINT, PA, 19486",40.205268,-75.300099,8:00 PM,THURSDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PIZZATA BIRRERIA,,,E PASSYUNK,1700 E Passyunk Ave,,,PA,19148.0,"1700 E Passyunk Ave, Philadelphia, PA 19148",39.92869632680344,-75.1651861,8:15 PM,,,,,,,,JOHNNY GOODTIMES,
PJ WHELIHANS,"RESTAURANT,BAR",,CONSHOHOCKEN,200 Ridge Pike,,,PA,19428.0,"200 Ridge Pike, Unit 117, Conshohocken, PA 19428",40.09618609951908,-75.28755152479162,7:00 PM,,,,CONSHOHOCKEN,PA,,,THE QUIZZO GUYS,QUIZZO
PJ'S BLUEBELL,"RESTAURANT,BAR",,,799 DEKALB PIKE,,BLUE BELL,PA,19422.0,"799 DEKALB PIKE, BLUE BELL, PA, 19422",40.1695406,-75.2881996,7:30 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S HADDON TWP,"RESTAURANT,BAR",,,700 N HADDON AVE,,HADDONFIELD,NJ,8033.0,"700 N HADDON AVE, HADDONFIELD, NJ, 8033",39.9047714,-75.0420737,8:00 PM,TUESDAY,,,,,,,,QUIZZO
